,Date,Team 1,Team 1 Coach,Team 1 Formation,Team 1 Goals,Team 1 Value,Team 1 Tirs cadres,Team 1 Tirs non cadres,Team 1 Possession,Team 1 Passes,Team 1 Precision passes,Team 1 Fautes,Team 1 Cartons jaunes,Team 1 Cartons rouges,Team 1 HJ,Team 1 Corners,Team 2,Team 2 Coach,Team 2 Formation,Team 2 Goals,Team 2 Value,Team 2 Tirs cadres,Team 2 Tirs non cadres,Team 2 Possession,Team 2 Passes,Team 2 Precision passes,Team 2 Fautes,Team 2 Cartons jaunes,Team 2 Cartons rouges,Team 2 HJ,Team 2 Corners
0,2021,Turquie,Gunes,4-1-4-1,0,193000000,0,3,36,360,78,10,2,0,2,2,Italie,Mancini,4-3-3,3,369500000,8,16,64,616,87,8,0,0,4,8
,2021,Pays de Galles,Page,4-1-4-1,1,99900000,2,7,35,283,81,6,1,0,0,4,Suisse,Petkovic,3-4-1-2,1,176000000,4,14,65,519,88,9,2,0,4,12
,2021,Danemark,Hjulmand,4-3-3,0,191000000,6,16,70,633,85,11,0,0,0,9,Finlande,Kanerva,5-3-2,1,29250000,1,0,30,283,67,12,2,0,1,0
,2021,Belgique,Martinez,3-4-3,3,374000000,4,5,67,721,89,9,0,0,0,2,Russie,Cherchesov,4-2-3-1,0,106600000,1,4,33,354,74,11,0,0,4,4
,2021,Angleterre,Southgate,4-3-3,1,590000000,2,6,49,453,84,9,1,0,2,1,Croatie,Dalic,4-3-3,0,233000000,2,6,51,457,84,10,3,0,2,1
,2021,Autriche,Foda,3-1-4-2,3,229600000,6,4,63,556,83,13,1,0,1,4,Macédoine du Nord,Angelovski,3-5-2,1,54300000,2,5,37,333,72,16,2,0,0,0
,2021,Pays-Bas,de Boer,3-4-1-2,3,317550000,7,8,62,661,89,8,0,0,2,5,Ukraine,Shevchenko,4-3-3,2,124000000,5,2,38,414,81,8,1,0,1,1
,2021,Ecosse,Clarke,3-5-2,0,164150000,4,15,58,471,76,6,0,0,1,6,République Tchèque,Silhavy,4-2-3-1,2,114700000,7,3,42,348,69,6,0,0,2,6
,2021,Pologne,Sousa,3-1-4-2,1,199000000,3,14,58,532,85,15,0,1,0,5,Slovaquie,Tarkovic,4-2-3-1,2,86100000,2,9,42,410,81,13,1,0,1,2
,2021,Espagne,Enrique,4-3-3,0,555000000,5,12,86,917,90,7,0,0,2,6,Suède,Andersson,4-4-2,0,106600000,1,3,14,162,54,11,1,0,1,1
,2021,Hongrie,Rossi,3-5-2,0,56450000,3,2,30,293,75,10,2,0,2,0,Portugal,Santos,4-2-3-1,3,439000000,7,4,70,671,88,15,1,0,1,6
,2021,France,Deschamps,4-3-3,1,589000000,1,3,38,434,82,7,0,0,5,3,Allemagne,Low,3-4-2-1,0,463000000,1,9,62,692,89,10,1,0,2,5
,2021,Finlande,Kanerva,3-5-2,0,29700000,1,10,41,407,80,12,2,0,2,1,Russie,Cherchesov,3-5-1-1,1,136000000,3,11,59,581,82,12,3,0,2,4
,2021,Turquie,Gunes,4-1-4-1,0,169000000,6,12,64,514,83,18,2,0,1,10,Pays de Galles,Page,4-1-4-1,2,99900000,7,11,36,303,76,8,2,0,0,7
,2021,Italie,Mancini,4-3-3,3,380500000,3,10,49,527,85,10,0,0,2,3,Suisse,Petkovic,3-4-1-2,0,176000000,1,5,51,543,86,12,2,0,4,2
,2021,Ukraine,Shevchenko,4-3-3,2,133500000,8,9,53,450,86,9,1,0,3,5,Macédoine du Nord,Angelovski,3-5-2,1,54350000,5,8,47,400,84,9,2,0,1,5
,2021,Danemark,Hjulmand,3-4-2-1,1,177000000,5,16,47,489,84,8,3,0,2,2,Belgique,Martinez,3-4-2-1,2,375000000,5,1,53,566,84,14,1,0,2,4
,2021,Pays-Bas,de Boer,3-4-1-2,2,381550000,4,10,46,480,78,13,1,0,1,2,Autriche,Foda,3-1-4-2,0,210600000,1,8,54,531,82,9,2,0,0,5
,2021,Suède,Andersson,4-4-2,1,106600000,4,9,41,432,83,16,1,0,1,7,Slovaquie,Tarkovic,4-2-3-1,0,89400000,0,10,59,609,88,7,3,0,3,6
,2021,Croatie,Dalic,4-2-3-1,1,190000000,2,9,48,430,81,7,1,0,1,4,République Tchèque,Silhavy,4-2-3-1,1,108700000,1,10,52,446,78,12,3,0,2,4
,2021,Angleterre,Southgate,4-3-3,0,617000000,1,8,61,559,89,13,0,0,2,6,Ecosse,Clarke,3-4-1-2,0,207650000,2,9,39,367,81,14,2,0,0,5
,2021,Hongrie,Rossi,3-5-2,1,58000000,3,2,33,330,80,17,1,0,0,1,France,Deschamps,4-3-3,1,579000000,4,11,67,650,90,15,1,0,1,3
,2021,Portugal,Santos,4-1-4-1,2,439000000,2,5,42,420,85,5,0,0,2,6,Allemagne,Low,3-4-2-1,4,463000000,7,5,58,581,90,15,2,0,1,3
,2021,Espagne,Martinez,4-3-3,1,545000000,5,7,77,708,87,16,2,0,1,7,Pologne,Sousa,3-5-2,1,194500000,2,3,23,217,58,17,4,0,2,1
,2021,Italie,Mancini,4-3-3,1,380000000,6,17,70,595,91,14,1,0,3,7,Pays de Galles,Page,3-4-3,0,96700000,1,2,30,264,75,12,2,1,0,1
,2021,Suisse,Petkovic,3-4-1-2,3,161500000,10,13,51,482,86,14,1,0,0,8,Turquie,Gunes,4-1-4-1,1,204800000,6,13,49,474,86,20,3,0,1,8
,2021,Ukraine,Shevchenko,4-3-3,0,130000000,1,4,51,455,81,10,0,0,1,4,Autriche,Foda,4-2-3-1,1,234800000,4,14,49,455,79,11,0,0,2,9
,2021,Macédoine du Nord,Angelovski,4-2-3-1,0,54200000,1,12,41,408,83,8,4,0,3,5,Pays-Bas,de Boer,3-4-1-2,3,391550000,7,10,59,602,85,13,0,0,2,7
,2021,Russie,Cherchesov,3-4-2-1,1,124900000,2,4,35,277,66,15,2,0,3,1,Danemark,Hjulmand,3-4-2-1,4,177000000,10,6,65,498,81,16,1,0,0,7
